start_request_time,end_request_time,start_response_time,end_response_time,duration,src_ip,dst_ip,src_port,dst_port,SYN,ACK,FIN,RST,URG,PSH,label
2025-01-08 16:02:27.258229,2025-01-08 16:02:27.258229,2025-01-08 16:02:27.258250,2025-01-08 16:02:27.258250,2.1e-05,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['37940', '1']","['37940', '1']",1,1,0,1,0,0,0
2025-01-08 16:02:27.258827,2025-01-08 16:02:27.258827,2025-01-08 16:02:27.258838,2025-01-08 16:02:27.258838,1.1e-05,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['2', '51548']","['2', '51548']",1,1,0,1,0,0,0
2025-01-08 16:02:27.259326,2025-01-08 16:02:27.259326,2025-01-08 16:02:27.259336,2025-01-08 16:02:27.259336,1e-05,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['3', '45568']","['3', '45568']",1,1,0,1,0,0,0
2025-01-08 16:02:27.259867,2025-01-08 16:02:27.259867,2025-01-08 16:02:27.259876,2025-01-08 16:02:27.259876,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['4', '51434']","['4', '51434']",1,1,0,1,0,0,0
2025-01-08 16:02:27.260289,2025-01-08 16:02:27.260289,2025-01-08 16:02:27.260297,2025-01-08 16:02:27.260297,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['50996', '5']","['50996', '5']",1,1,0,1,0,0,0
2025-01-08 16:02:27.260701,2025-01-08 16:02:27.260701,2025-01-08 16:02:27.260709,2025-01-08 16:02:27.260709,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['6', '49580']","['6', '49580']",1,1,0,1,0,0,0
2025-01-08 16:02:27.261110,2025-01-08 16:02:27.261110,2025-01-08 16:02:27.261118,2025-01-08 16:02:27.261118,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['7', '44580']","['7', '44580']",1,1,0,1,0,0,0
2025-01-08 16:02:27.261566,2025-01-08 16:02:27.261566,2025-01-08 16:02:27.261574,2025-01-08 16:02:27.261574,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['45320', '8']","['45320', '8']",1,1,0,1,0,0,0
2025-01-08 16:02:27.262126,2025-01-08 16:02:27.262126,2025-01-08 16:02:27.262135,2025-01-08 16:02:27.262135,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['9', '54178']","['9', '54178']",1,1,0,1,0,0,0
2025-01-08 16:02:27.262541,2025-01-08 16:02:27.262541,2025-01-08 16:02:27.262549,2025-01-08 16:02:27.262549,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['10', '55060']","['10', '55060']",1,1,0,1,0,0,0
2025-01-08 16:02:27.262952,2025-01-08 16:02:27.262952,2025-01-08 16:02:27.262960,2025-01-08 16:02:27.262960,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['51932', '11']","['51932', '11']",1,1,0,1,0,0,0
2025-01-08 16:02:27.263361,2025-01-08 16:02:27.263361,2025-01-08 16:02:27.263369,2025-01-08 16:02:27.263369,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['45392', '12']","['45392', '12']",1,1,0,1,0,0,0
2025-01-08 16:02:27.263748,2025-01-08 16:02:27.263748,2025-01-08 16:02:27.263755,2025-01-08 16:02:27.263755,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['13', '41564']","['13', '41564']",1,1,0,1,0,0,0
2025-01-08 16:02:27.264160,2025-01-08 16:02:27.264160,2025-01-08 16:02:27.264168,2025-01-08 16:02:27.264168,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['14', '57578']","['14', '57578']",1,1,0,1,0,0,0
2025-01-08 16:02:27.264748,2025-01-08 16:02:27.264748,2025-01-08 16:02:27.264756,2025-01-08 16:02:27.264756,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['57016', '15']","['57016', '15']",1,1,0,1,0,0,0
2025-01-08 16:02:27.265147,2025-01-08 16:02:27.265147,2025-01-08 16:02:27.265155,2025-01-08 16:02:27.265155,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['16', '54124']","['16', '54124']",1,1,0,1,0,0,0
2025-01-08 16:02:27.265545,2025-01-08 16:02:27.265545,2025-01-08 16:02:27.265553,2025-01-08 16:02:27.265553,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['17', '54144']","['17', '54144']",1,1,0,1,0,0,0
2025-01-08 16:02:27.265937,2025-01-08 16:02:27.265937,2025-01-08 16:02:27.265945,2025-01-08 16:02:27.265945,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['52640', '18']","['52640', '18']",1,1,0,1,0,0,0
2025-01-08 16:02:27.266320,2025-01-08 16:02:27.266320,2025-01-08 16:02:27.266327,2025-01-08 16:02:27.266327,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['50356', '19']","['50356', '19']",1,1,0,1,0,0,0
2025-01-08 16:02:27.266827,2025-01-08 16:02:27.266827,2025-01-08 16:02:27.266835,2025-01-08 16:02:27.266835,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['33510', '20']","['33510', '20']",1,1,0,1,0,0,0
2025-01-08 16:02:27.267225,2025-01-08 16:02:27.267225,2025-01-08 16:02:27.267233,2025-01-08 16:02:27.267233,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['21', '49338']","['21', '49338']",1,1,0,1,0,0,0
2025-01-08 16:02:27.267633,2025-01-08 16:02:27.267633,2025-01-08 16:02:27.267641,2025-01-08 16:02:27.267641,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['41054', '22']","['41054', '22']",1,1,0,1,0,0,0
2025-01-08 16:02:27.268047,2025-01-08 16:02:27.268047,2025-01-08 16:02:27.268055,2025-01-08 16:02:27.268055,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['23', '48216']","['23', '48216']",1,1,0,1,0,0,0
2025-01-08 16:02:27.268449,2025-01-08 16:02:27.268449,2025-01-08 16:02:27.268457,2025-01-08 16:02:27.268457,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['56380', '24']","['56380', '24']",1,1,0,1,0,0,0
2025-01-08 16:02:27.268852,2025-01-08 16:02:27.268852,2025-01-08 16:02:27.268860,2025-01-08 16:02:27.268860,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['25', '40210']","['25', '40210']",1,1,0,1,0,0,0
2025-01-08 16:02:27.269394,2025-01-08 16:02:27.269394,2025-01-08 16:02:27.269401,2025-01-08 16:02:27.269401,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['26', '41884']","['26', '41884']",1,1,0,1,0,0,0
2025-01-08 16:02:27.269803,2025-01-08 16:02:27.269803,2025-01-08 16:02:27.269813,2025-01-08 16:02:27.269813,1e-05,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['27', '48702']","['27', '48702']",1,1,0,1,0,0,0
2025-01-08 16:02:27.270205,2025-01-08 16:02:27.270205,2025-01-08 16:02:27.270213,2025-01-08 16:02:27.270213,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['28', '34976']","['28', '34976']",1,1,0,1,0,0,0
2025-01-08 16:02:27.270619,2025-01-08 16:02:27.270619,2025-01-08 16:02:27.270627,2025-01-08 16:02:27.270627,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['29', '42894']","['29', '42894']",1,1,0,1,0,0,0
2025-01-08 16:02:27.271017,2025-01-08 16:02:27.271017,2025-01-08 16:02:27.271024,2025-01-08 16:02:27.271024,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['30', '39038']","['30', '39038']",1,1,0,1,0,0,0
2025-01-08 16:02:27.271431,2025-01-08 16:02:27.271431,2025-01-08 16:02:27.271439,2025-01-08 16:02:27.271439,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['51350', '31']","['51350', '31']",1,1,0,1,0,0,0
2025-01-08 16:02:27.271971,2025-01-08 16:02:27.271971,2025-01-08 16:02:27.271979,2025-01-08 16:02:27.271979,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['32', '53822']","['32', '53822']",1,1,0,1,0,0,0
2025-01-08 16:02:27.272363,2025-01-08 16:02:27.272363,2025-01-08 16:02:27.272371,2025-01-08 16:02:27.272371,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['58192', '33']","['58192', '33']",1,1,0,1,0,0,0
2025-01-08 16:02:27.272753,2025-01-08 16:02:27.272753,2025-01-08 16:02:27.272761,2025-01-08 16:02:27.272761,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['34', '43124']","['34', '43124']",1,1,0,1,0,0,0
2025-01-08 16:02:27.273143,2025-01-08 16:02:27.273143,2025-01-08 16:02:27.273151,2025-01-08 16:02:27.273151,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['51176', '35']","['51176', '35']",1,1,0,1,0,0,0
2025-01-08 16:02:27.273536,2025-01-08 16:02:27.273536,2025-01-08 16:02:27.273543,2025-01-08 16:02:27.273543,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['36', '58912']","['36', '58912']",1,1,0,1,0,0,0
