start_request_time,end_request_time,start_response_time,end_response_time,duration,src_ip,dst_ip,src_port,dst_port,SYN,ACK,FIN,RST,URG,PSH,label
2025-01-08 13:52:55.274814,2025-01-08 13:52:55.274814,2025-01-08 13:52:55.274874,2025-01-08 13:52:55.274874,6e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '3306']","['44031', '3306']",1,1,0,1,0,0,1
2025-01-08 13:52:56.275945,2025-01-08 13:52:56.275945,2025-01-08 13:52:56.276013,2025-01-08 13:52:56.276013,6.8e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '199']","['44031', '199']",1,1,0,1,0,0,1
2025-01-08 13:52:57.277070,2025-01-08 13:52:57.277070,2025-01-08 13:52:57.277132,2025-01-08 13:52:57.277132,6.2e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '53']","['44031', '53']",1,1,0,1,0,0,1
2025-01-08 13:52:58.278249,2025-01-08 13:52:58.278249,2025-01-08 13:52:58.278306,2025-01-08 13:52:58.278306,5.7e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '995']","['995', '44031']",1,1,0,1,0,0,1
2025-01-08 13:52:59.279450,2025-01-08 13:52:59.279450,2025-01-08 13:52:59.279524,2025-01-08 13:52:59.279524,7.4e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '993']","['44031', '993']",1,1,0,1,0,0,1
2025-01-08 13:53:00.279654,2025-01-08 13:53:00.279654,2025-01-08 13:53:00.279720,2025-01-08 13:53:00.279720,6.6e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '443']","['44031', '443']",1,1,0,1,0,0,1
2025-01-08 13:53:01.281261,2025-01-08 13:53:01.281261,2025-01-08 13:53:01.281336,2025-01-08 13:53:01.281336,7.5e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '256']","['44031', '256']",1,1,0,1,0,0,1
2025-01-08 13:53:02.282889,2025-01-08 13:53:02.282889,2025-01-08 13:53:02.282965,2025-01-08 13:53:02.282965,7.6e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '5900']","['44031', '5900']",1,1,0,1,0,0,1
2025-01-08 13:53:03.284443,2025-01-08 13:53:03.284443,2025-01-08 13:53:03.284498,2025-01-08 13:53:03.284498,5.5e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '1723']","['44031', '1723']",1,1,0,1,0,0,1
2025-01-08 13:53:04.285556,2025-01-08 13:53:04.285556,2025-01-08 13:53:04.285609,2025-01-08 13:53:04.285609,5.3e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '111']","['44031', '111']",1,1,0,1,0,0,1
2025-01-08 13:53:05.286137,2025-01-08 13:53:05.286137,2025-01-08 13:53:05.286210,2025-01-08 13:53:05.286210,7.3e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '1720']","['44031', '1720']",1,1,0,1,0,0,1
2025-01-08 13:53:06.287244,2025-01-08 13:53:06.287244,2025-01-08 13:53:06.287305,2025-01-08 13:53:06.287305,6.1e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '445']","['44031', '445']",1,1,0,1,0,0,1
2025-01-08 13:53:07.289003,2025-01-08 13:53:07.289003,2025-01-08 13:53:07.289078,2025-01-08 13:53:07.289078,7.5e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '554']","['44031', '554']",1,1,0,1,0,0,1
2025-01-08 13:53:08.290470,2025-01-08 13:53:08.290470,2025-01-08 13:53:08.290544,2025-01-08 13:53:08.290544,7.4e-05,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '143']","['44031', '143']",1,1,0,1,0,0,1
2025-01-08 13:53:09.292050,2025-01-08 13:53:09.292050,2025-01-08 13:53:09.292172,2025-01-08 13:53:09.292172,0.000122,"['172.31.0.1', '172.31.0.2']","['172.31.0.1', '172.31.0.2']","['44031', '3389']","['44031', '3389']",1,1,0,1,0,0,1
