timestamp_start,timestamp_end,flow_key,src_ports,dst_ports,packet_count,tcp_flags_pattern,label
2025-01-05 11:21:51.358351,2025-01-05 11:21:51.358371,"('172.31.0.1', '172.31.0.2', '25', '44294', 'TCP')","['44294', '25']","['44294', '25']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.358424,2025-01-05 11:21:51.358435,"('172.31.0.1', '172.31.0.2', '143', '38830', 'TCP')","['143', '38830']","['143', '38830']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.358476,2025-01-05 11:21:51.358485,"('172.31.0.1', '172.31.0.2', '111', '57532', 'TCP')","['57532', '111']","['57532', '111']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.358523,2025-01-05 11:21:51.358532,"('172.31.0.1', '172.31.0.2', '113', '43372', 'TCP')","['43372', '113']","['43372', '113']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.358578,2025-01-05 11:21:51.358588,"('172.31.0.1', '172.31.0.2', '23', '60956', 'TCP')","['60956', '23']","['60956', '23']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.358627,2025-01-05 11:21:51.358637,"('172.31.0.1', '172.31.0.2', '256', '42056', 'TCP')","['256', '42056']","['256', '42056']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.358677,2025-01-05 11:21:51.358687,"('172.31.0.1', '172.31.0.2', '199', '53486', 'TCP')","['53486', '199']","['53486', '199']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.358726,2025-01-05 11:21:51.358736,"('172.31.0.1', '172.31.0.2', '135', '35652', 'TCP')","['135', '35652']","['135', '35652']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.358774,2025-01-05 11:21:51.358784,"('172.31.0.1', '172.31.0.2', '587', '42542', 'TCP')","['42542', '587']","['42542', '587']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.358823,2025-01-05 11:21:51.358835,"('172.31.0.1', '172.31.0.2', '53', '51398', 'TCP')","['51398', '53']","['51398', '53']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.358979,2025-01-05 11:21:51.358990,"('172.31.0.1', '172.31.0.2', '993', '37306', 'TCP')","['993', '37306']","['993', '37306']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.359029,2025-01-05 11:21:51.359035,"('172.31.0.1', '172.31.0.2', '21', '54484', 'TCP')","['54484', '21']","['54484', '21']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.359059,2025-01-05 11:21:51.359065,"('172.31.0.1', '172.31.0.2', '22', '34394', 'TCP')","['34394', '22']","['34394', '22']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.359089,2025-01-05 11:21:51.359095,"('172.31.0.1', '172.31.0.2', '1723', '52332', 'TCP')","['1723', '52332']","['1723', '52332']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
2025-01-05 11:21:51.359118,2025-01-05 11:21:51.359124,"('172.31.0.1', '172.31.0.2', '1025', '55188', 'TCP')","['55188', '1025']","['1025', '55188']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",1
