timestamp_start,timestamp_end,flow_key,src_ports,dst_ports,packet_count,tcp_flags_pattern,label
2025-01-05 11:23:15.051533,2025-01-05 11:23:15.051562,"('172.31.0.1', '172.31.0.2', '80', '34212', 'TCP')","['34212', '80']","['34212', '80']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:16.054718,2025-01-05 11:23:16.054754,"('172.31.0.1', '172.31.0.2', '1', '33764', 'TCP')","['33764', '1']","['33764', '1']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:17.057052,2025-01-05 11:23:17.057076,"('172.31.0.1', '172.31.0.2', '2', '34624', 'TCP')","['34624', '2']","['34624', '2']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:18.060751,2025-01-05 11:23:18.060780,"('172.31.0.1', '172.31.0.2', '3', '45890', 'TCP')","['45890', '3']","['45890', '3']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:19.063996,2025-01-05 11:23:19.064029,"('172.31.0.1', '172.31.0.2', '4', '49058', 'TCP')","['49058', '4']","['49058', '4']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:20.067407,2025-01-05 11:23:20.067436,"('172.31.0.1', '172.31.0.2', '5', '49488', 'TCP')","['5', '49488']","['5', '49488']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:21.070319,2025-01-05 11:23:21.070347,"('172.31.0.1', '172.31.0.2', '6', '42260', 'TCP')","['42260', '6']","['42260', '6']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:22.073184,2025-01-05 11:23:22.073216,"('172.31.0.1', '172.31.0.2', '7', '49390', 'TCP')","['7', '49390']","['7', '49390']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:23.076621,2025-01-05 11:23:23.076641,"('172.31.0.1', '172.31.0.2', '8', '47900', 'TCP')","['8', '47900']","['8', '47900']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:24.079623,2025-01-05 11:23:24.079680,"('172.31.0.1', '172.31.0.2', '9', '54798', 'TCP')","['54798', '9']","['54798', '9']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:25.081986,2025-01-05 11:23:25.082017,"('172.31.0.1', '172.31.0.2', '10', '60980', 'TCP')","['10', '60980']","['10', '60980']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:26.085148,2025-01-05 11:23:26.085187,"('172.31.0.1', '172.31.0.2', '11', '44474', 'TCP')","['44474', '11']","['44474', '11']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:27.086879,2025-01-05 11:23:27.086906,"('172.31.0.1', '172.31.0.2', '12', '56734', 'TCP')","['56734', '12']","['56734', '12']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:28.089041,2025-01-05 11:23:28.089062,"('172.31.0.1', '172.31.0.2', '13', '46486', 'TCP')","['13', '46486']","['13', '46486']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:29.091620,2025-01-05 11:23:29.091649,"('172.31.0.1', '172.31.0.2', '14', '47184', 'TCP')","['14', '47184']","['14', '47184']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:30.094126,2025-01-05 11:23:30.094148,"('172.31.0.1', '172.31.0.2', '15', '56850', 'TCP')","['56850', '15']","['56850', '15']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:31.096431,2025-01-05 11:23:31.096460,"('172.31.0.1', '172.31.0.2', '16', '57782', 'TCP')","['57782', '16']","['57782', '16']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:32.099675,2025-01-05 11:23:32.099715,"('172.31.0.1', '172.31.0.2', '17', '36206', 'TCP')","['17', '36206']","['17', '36206']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:33.102415,2025-01-05 11:23:33.102439,"('172.31.0.1', '172.31.0.2', '18', '54620', 'TCP')","['18', '54620']","['18', '54620']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:34.105367,2025-01-05 11:23:34.105390,"('172.31.0.1', '172.31.0.2', '19', '49524', 'TCP')","['19', '49524']","['19', '49524']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:35.107040,2025-01-05 11:23:35.107065,"('172.31.0.1', '172.31.0.2', '20', '34036', 'TCP')","['34036', '20']","['34036', '20']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:36.109548,2025-01-05 11:23:36.109576,"('172.31.0.1', '172.31.0.2', '21', '45610', 'TCP')","['45610', '21']","['45610', '21']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:37.111955,2025-01-05 11:23:37.111976,"('172.31.0.1', '172.31.0.2', '22', '53320', 'TCP')","['53320', '22']","['53320', '22']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:38.114820,2025-01-05 11:23:38.114850,"('172.31.0.1', '172.31.0.2', '23', '41464', 'TCP')","['41464', '23']","['41464', '23']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:39.117238,2025-01-05 11:23:39.117259,"('172.31.0.1', '172.31.0.2', '24', '34534', 'TCP')","['34534', '24']","['34534', '24']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:40.120889,2025-01-05 11:23:40.120924,"('172.31.0.1', '172.31.0.2', '25', '49982', 'TCP')","['49982', '25']","['49982', '25']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:41.124709,2025-01-05 11:23:41.124744,"('172.31.0.1', '172.31.0.2', '26', '43832', 'TCP')","['26', '43832']","['26', '43832']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
2025-01-05 11:23:42.128062,2025-01-05 11:23:42.128090,"('172.31.0.1', '172.31.0.2', '27', '49300', 'TCP')","['27', '49300']","['49300', '27']",2,"[(1, 0, 0, 0, 0, 0), (0, 1, 0, 1, 0, 0)]",0
