start_request_time,end_request_time,start_response_time,end_response_time,duration,src_ip,dst_ip,src_port,dst_port,SYN,ACK,FIN,RST,URG,PSH
2025-01-08 13:15:49.581184,2025-01-08 13:15:49.581184,2025-01-08 13:15:49.581197,2025-01-08 13:15:49.581197,1.3e-05,['127.0.0.1'],['127.0.0.1'],"['40462', '5037']","['40462', '5037']",1,1,0,1,0,0
2025-01-08 13:15:49.729700,2025-01-08 13:15:49.729700,2025-01-08 13:15:49.729712,2025-01-08 13:15:49.729712,1.2e-05,['127.0.0.1'],['127.0.0.1'],"['40468', '5037']","['40468', '5037']",1,1,0,1,0,0
2025-01-08 13:15:50.215602,2025-01-08 13:15:50.215602,2025-01-08 13:15:50.215613,2025-01-08 13:15:50.215613,1.1e-05,['127.0.0.1'],['127.0.0.1'],"['35168', '48565']","['35168', '48565']",1,1,0,1,0,0
2025-01-08 13:15:51.220088,2025-01-08 13:15:51.220088,2025-01-08 13:15:51.220100,2025-01-08 13:15:51.220100,1.2e-05,['127.0.0.1'],['127.0.0.1'],"['49332', '61675']","['49332', '61675']",1,1,0,1,0,0
2025-01-08 13:15:52.224818,2025-01-08 13:15:52.224818,2025-01-08 13:15:52.224829,2025-01-08 13:15:52.224829,1.1e-05,['127.0.0.1'],['127.0.0.1'],"['42244', '57749']","['42244', '57749']",1,1,0,1,0,0
2025-01-08 13:15:53.233853,2025-01-08 13:15:53.233853,2025-01-08 13:15:53.233868,2025-01-08 13:15:53.233868,1.5e-05,['127.0.0.1'],['127.0.0.1'],"['12056', '54174']","['12056', '54174']",1,1,0,1,0,0
2025-01-08 13:15:54.241977,2025-01-08 13:15:54.241977,2025-01-08 13:15:54.241992,2025-01-08 13:15:54.241992,1.5e-05,['127.0.0.1'],['127.0.0.1'],"['49736', '31012']","['49736', '31012']",1,1,0,1,0,0
2025-01-08 13:15:55.251262,2025-01-08 13:15:55.251262,2025-01-08 13:15:55.251277,2025-01-08 13:15:55.251277,1.5e-05,['127.0.0.1'],['127.0.0.1'],"['43120', '7525']","['43120', '7525']",1,1,0,1,0,0
2025-01-08 13:15:56.376903,2025-01-08 13:15:56.376903,2025-01-08 13:15:56.376933,2025-01-08 13:15:56.376933,3e-05,['127.0.0.1'],['127.0.0.1'],"['52105', '22']","['52105', '22']",1,1,0,1,0,0
2025-01-08 13:15:56.376960,2025-01-08 13:15:56.376960,2025-01-08 13:15:56.376971,2025-01-08 13:15:56.376971,1.1e-05,['127.0.0.1'],['127.0.0.1'],"['52105', '25']","['52105', '25']",1,1,0,1,0,0
2025-01-08 13:15:56.376988,2025-01-08 13:15:56.376988,2025-01-08 13:15:56.376995,2025-01-08 13:15:56.376995,7e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '23']","['23', '52105']",1,1,0,1,0,0
2025-01-08 13:15:56.377003,2025-01-08 13:15:56.377003,2025-01-08 13:15:56.377009,2025-01-08 13:15:56.377009,6e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '21']","['21', '52105']",1,1,0,1,0,0
2025-01-08 13:15:56.377018,2025-01-08 13:15:56.377018,2025-01-08 13:15:56.377023,2025-01-08 13:15:56.377023,5e-06,['127.0.0.1'],['127.0.0.1'],"['52105', '40']","['52105', '40']",1,1,0,1,0,0
