start_request_time,end_request_time,start_response_time,end_response_time,duration,src_ip,dst_ip,src_port,dst_port,SYN,ACK,FIN,RST,URG,PSH,label
2025-01-07 14:10:08.954021,2025-01-07 14:10:08.954021,2025-01-07 14:10:08.954055,2025-01-07 14:10:08.954055,3.4e-05,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['1', '34658']","['1', '34658']",1,1,0,1,0,0,0
2025-01-07 14:10:08.954695,2025-01-07 14:10:08.954695,2025-01-07 14:10:08.954704,2025-01-07 14:10:08.954704,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['2', '33646']","['2', '33646']",1,1,0,1,0,0,0
2025-01-07 14:10:08.955207,2025-01-07 14:10:08.955207,2025-01-07 14:10:08.955216,2025-01-07 14:10:08.955216,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['3', '45412']","['3', '45412']",1,1,0,1,0,0,0
2025-01-07 14:10:08.955779,2025-01-07 14:10:08.955779,2025-01-07 14:10:08.955788,2025-01-07 14:10:08.955788,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['36022', '4']","['36022', '4']",1,1,0,1,0,0,0
2025-01-07 14:10:08.956233,2025-01-07 14:10:08.956233,2025-01-07 14:10:08.956241,2025-01-07 14:10:08.956241,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['5', '36798']","['5', '36798']",1,1,0,1,0,0,0
2025-01-07 14:10:08.956671,2025-01-07 14:10:08.956671,2025-01-07 14:10:08.956678,2025-01-07 14:10:08.956678,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['55446', '6']","['55446', '6']",1,1,0,1,0,0,0
2025-01-07 14:10:08.957106,2025-01-07 14:10:08.957106,2025-01-07 14:10:08.957115,2025-01-07 14:10:08.957115,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['7', '41870']","['7', '41870']",1,1,0,1,0,0,0
2025-01-07 14:10:08.957549,2025-01-07 14:10:08.957549,2025-01-07 14:10:08.957559,2025-01-07 14:10:08.957559,1e-05,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['8', '45056']","['8', '45056']",1,1,0,1,0,0,0
2025-01-07 14:10:08.958189,2025-01-07 14:10:08.958189,2025-01-07 14:10:08.958199,2025-01-07 14:10:08.958199,1e-05,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['56490', '9']","['9', '56490']",1,1,0,1,0,0,0
2025-01-07 14:10:08.958616,2025-01-07 14:10:08.958616,2025-01-07 14:10:08.958624,2025-01-07 14:10:08.958624,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['10', '53874']","['10', '53874']",1,1,0,1,0,0,0
2025-01-07 14:10:08.959063,2025-01-07 14:10:08.959063,2025-01-07 14:10:08.959072,2025-01-07 14:10:08.959072,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['54752', '11']","['54752', '11']",1,1,0,1,0,0,0
2025-01-07 14:10:08.959483,2025-01-07 14:10:08.959483,2025-01-07 14:10:08.959491,2025-01-07 14:10:08.959491,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['12', '35314']","['12', '35314']",1,1,0,1,0,0,0
2025-01-07 14:10:08.959895,2025-01-07 14:10:08.959895,2025-01-07 14:10:08.959902,2025-01-07 14:10:08.959902,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['43654', '13']","['43654', '13']",1,1,0,1,0,0,0
2025-01-07 14:10:08.960345,2025-01-07 14:10:08.960345,2025-01-07 14:10:08.960354,2025-01-07 14:10:08.960354,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['14', '45748']","['45748', '14']",1,1,0,1,0,0,0
2025-01-07 14:10:08.960943,2025-01-07 14:10:08.960943,2025-01-07 14:10:08.960953,2025-01-07 14:10:08.960953,1e-05,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['34498', '15']","['34498', '15']",1,1,0,1,0,0,0
2025-01-07 14:10:08.961365,2025-01-07 14:10:08.961365,2025-01-07 14:10:08.961374,2025-01-07 14:10:08.961374,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['16', '45824']","['16', '45824']",1,1,0,1,0,0,0
2025-01-07 14:10:08.961787,2025-01-07 14:10:08.961787,2025-01-07 14:10:08.961795,2025-01-07 14:10:08.961795,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['37056', '17']","['37056', '17']",1,1,0,1,0,0,0
2025-01-07 14:10:08.962186,2025-01-07 14:10:08.962186,2025-01-07 14:10:08.962194,2025-01-07 14:10:08.962194,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['54004', '18']","['54004', '18']",1,1,0,1,0,0,0
2025-01-07 14:10:08.962581,2025-01-07 14:10:08.962581,2025-01-07 14:10:08.962589,2025-01-07 14:10:08.962589,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['19', '59706']","['19', '59706']",1,1,0,1,0,0,0
2025-01-07 14:10:08.963111,2025-01-07 14:10:08.963111,2025-01-07 14:10:08.963120,2025-01-07 14:10:08.963120,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['37612', '20']","['37612', '20']",1,1,0,1,0,0,0
2025-01-07 14:10:08.963576,2025-01-07 14:10:08.963576,2025-01-07 14:10:08.963586,2025-01-07 14:10:08.963586,1e-05,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['21', '39784']","['39784', '21']",1,1,0,1,0,0,0
2025-01-07 14:10:08.964010,2025-01-07 14:10:08.964010,2025-01-07 14:10:08.964019,2025-01-07 14:10:08.964019,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['22', '41344']","['22', '41344']",1,1,0,1,0,0,0
2025-01-07 14:10:08.964480,2025-01-07 14:10:08.964480,2025-01-07 14:10:08.964489,2025-01-07 14:10:08.964489,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['46562', '23']","['23', '46562']",1,1,0,1,0,0,0
2025-01-07 14:10:08.964907,2025-01-07 14:10:08.964907,2025-01-07 14:10:08.964916,2025-01-07 14:10:08.964916,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['24', '34456']","['24', '34456']",1,1,0,1,0,0,0
2025-01-07 14:10:08.965340,2025-01-07 14:10:08.965340,2025-01-07 14:10:08.965348,2025-01-07 14:10:08.965348,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['25', '49092']","['25', '49092']",1,1,0,1,0,0,0
2025-01-07 14:10:08.965904,2025-01-07 14:10:08.965904,2025-01-07 14:10:08.965912,2025-01-07 14:10:08.965912,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['26', '57536']","['26', '57536']",1,1,0,1,0,0,0
2025-01-07 14:10:08.966314,2025-01-07 14:10:08.966314,2025-01-07 14:10:08.966323,2025-01-07 14:10:08.966323,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['27', '35280']","['27', '35280']",1,1,0,1,0,0,0
2025-01-07 14:10:08.966791,2025-01-07 14:10:08.966791,2025-01-07 14:10:08.966800,2025-01-07 14:10:08.966800,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['52594', '28']","['52594', '28']",1,1,0,1,0,0,0
2025-01-07 14:10:08.967216,2025-01-07 14:10:08.967216,2025-01-07 14:10:08.967224,2025-01-07 14:10:08.967224,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['29', '32784']","['29', '32784']",1,1,0,1,0,0,0
2025-01-07 14:10:08.967631,2025-01-07 14:10:08.967631,2025-01-07 14:10:08.967640,2025-01-07 14:10:08.967640,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['30', '50566']","['30', '50566']",1,1,0,1,0,0,0
2025-01-07 14:10:08.968054,2025-01-07 14:10:08.968054,2025-01-07 14:10:08.968063,2025-01-07 14:10:08.968063,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['38966', '31']","['38966', '31']",1,1,0,1,0,0,0
2025-01-07 14:10:08.968601,2025-01-07 14:10:08.968601,2025-01-07 14:10:08.968610,2025-01-07 14:10:08.968610,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['32', '55000']","['55000', '32']",1,1,0,1,0,0,0
2025-01-07 14:10:08.969013,2025-01-07 14:10:08.969013,2025-01-07 14:10:08.969022,2025-01-07 14:10:08.969022,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['33', '59374']","['33', '59374']",1,1,0,1,0,0,0
