start_request_time,end_request_time,start_response_time,end_response_time,duration,src_ip,dst_ip,src_port,dst_port,SYN,ACK,FIN,RST,URG,PSH,label
2025-01-07 14:08:59.409132,2025-01-07 14:08:59.409132,2025-01-07 14:08:59.409162,2025-01-07 14:08:59.409162,3e-05,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['58350', '199']","['199', '58350']",1,1,0,1,0,0,1
2025-01-07 14:08:59.409221,2025-01-07 14:08:59.409221,2025-01-07 14:08:59.409234,2025-01-07 14:08:59.409234,1.3e-05,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['43378', '995']","['43378', '995']",1,1,0,1,0,0,1
2025-01-07 14:08:59.409277,2025-01-07 14:08:59.409277,2025-01-07 14:08:59.409289,2025-01-07 14:08:59.409289,1.2e-05,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['42468', '3389']","['42468', '3389']",1,1,0,1,0,0,1
2025-01-07 14:08:59.409332,2025-01-07 14:08:59.409332,2025-01-07 14:08:59.409342,2025-01-07 14:08:59.409342,1e-05,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['44912', '256']","['44912', '256']",1,1,0,1,0,0,1
2025-01-07 14:08:59.409384,2025-01-07 14:08:59.409384,2025-01-07 14:08:59.409395,2025-01-07 14:08:59.409395,1.1e-05,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['1720', '36802']","['1720', '36802']",1,1,0,1,0,0,1
2025-01-07 14:08:59.409437,2025-01-07 14:08:59.409437,2025-01-07 14:08:59.409448,2025-01-07 14:08:59.409448,1.1e-05,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['587', '50114']","['587', '50114']",1,1,0,1,0,0,1
2025-01-07 14:08:59.409492,2025-01-07 14:08:59.409492,2025-01-07 14:08:59.409503,2025-01-07 14:08:59.409503,1.1e-05,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['110', '33352']","['110', '33352']",1,1,0,1,0,0,1
2025-01-07 14:08:59.409544,2025-01-07 14:08:59.409544,2025-01-07 14:08:59.409555,2025-01-07 14:08:59.409555,1.1e-05,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['39778', '80']","['39778', '80']",1,1,0,1,0,0,1
2025-01-07 14:08:59.409585,2025-01-07 14:08:59.409585,2025-01-07 14:08:59.409592,2025-01-07 14:08:59.409592,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['42144', '1025']","['42144', '1025']",1,1,0,1,0,0,1
2025-01-07 14:08:59.409618,2025-01-07 14:08:59.409618,2025-01-07 14:08:59.409625,2025-01-07 14:08:59.409625,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['53162', '993']","['53162', '993']",1,1,0,1,0,0,1
2025-01-07 14:08:59.409742,2025-01-07 14:08:59.409742,2025-01-07 14:08:59.409751,2025-01-07 14:08:59.409751,9e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['50084', '22']","['22', '50084']",1,1,0,1,0,0,1
